"Year","Group","Engineering","Math and Computational Science","Natural Science","Health","Post-Secondary Teachers","Blue Collar","Other Occupation"
"1990","Chinese Descendant","0.027529249827942182","0.010667584308327597","0.0055058499655884375","0.0726083964211975","0.026152787336545073","0.08671713695801789","0.7708189951823816"
"1990","Vanilla","0.014519395150778155","0.007234192110901824","0.0038164598696082555","0.03506509977316196","0.006708171155237864","0.2694972896348964","0.6631593923053862"
"1990","Direct Chinese Immigrant","0.03332454057856324","0.023916292974588922","0.015475248395322244","0.026290336762507673","0.03956739646531256","0.1924734019168204","0.6689527829068844"
"1990","Hispanic Descendant","0.007254590795737956","0.0026071185672183277","0.0006927126627874784","0.014912214413461352","0.0032116678001964916","0.34324542179903955","0.6280762739615636"
"1990","Direct Hispanic Immigrant","0.005148503889058089","0.0016608077061477707","0.0021452099537742036","0.008733080521493696","0.003473856118692421","0.5485924654690449","0.4302460763417983"
"2000","Chinese Descendant","0.040863857717552396","0.06860046580563202","0.0033876773237349143","0.12470887147999153","0.016091467287740843","0.05462629684522549","0.6917213635401229"
"2000","Vanilla","0.013930455242974496","0.015447723833114454","0.0049862025037564406","0.03867138919114763","0.007400104351214207","0.2522985827146098","0.6672655421629734"
"2000","Direct Chinese Immigrant","0.05244357009732847","0.03794781528266709","0.037171256989024515","0.043901428867260166","0.033029612756264135","0.14361151377096662","0.6518948022364868"
"2000","Hispanic Descendant","0.00650334000773997","0.012131715771230322","0.0016994497821002249","0.024886002254715177","0.005855529942285923","0.28013158116133874","0.6687923810805808"
"2000","Direct Hispanic Immigrant","0.0031263580523178238","0.005480855921594527","0.0012842715650600196","0.006259202324661209","0.0024193600695322586","0.5381487030803049","0.44328124898652677"
"2010","Chinese Descendant","0.024346315891036585","0.03981603576367674","0.003859389573215839","0.07332840189110094","0.019618563663847184","0.09384748978869849","0.7451838034284253"
"2010","Vanilla","0.011256973151727325","0.018753808432418095","0.0037720637198099933","0.038146677864627485","0.0071554064550301355","0.22823905281619175","0.6926760175601826"
"2010","Direct Chinese Immigrant","0.05576571689602032","0.05438103123394072","0.06553702963512846","0.04618711814080987","0.039506366699023736","0.07265317192942417","0.6659695654656563"
"2010","Hispanic Descendant","0.005096381123854275","0.014738492014984077","0.0010076234367270723","0.017786495789573455","0.002963463939761933","0.25181560719593904","0.7065919364991599"
"2010","Direct Hispanic Immigrant","0.0028035227090354724","0.0048455638474295265","0.0013449218958968621","0.006249832825121715","0.0027341451345423463","0.4946453886481573","0.4873766249398171"
"Group","Total Population","Year"
"Chinese Descendant","72679.06000000001","1990"
"Vanilla","53441292.970004484","1990"
"Direct Chinese Immigrant","284438.7300000002","1990"
"Hispanic Descendant","1985743.9799999923","1990"
"Direct Hispanic Immigrant","1807072.5399999844","1990"
"Chinese Descendant","118263.92","2000"
"Vanilla","52167058.96000764","2000"
"Direct Chinese Immigrant","483672.64000000164","2000"
"Hispanic Descendant","2976304.4800000447","2000"
"Direct Hispanic Immigrant","3860491.9200000316","2000"
"Chinese Descendant","155154.0699999999","2010"
"Vanilla","48536587.29000004","2010"
"Direct Chinese Immigrant","699118.9599999973","2010"
"Hispanic Descendant","4367881.73000001","2010"
"Direct Hispanic Immigrant","5969796.47999999","2010"
"Group","Average Income","Occupation","Year"
"Chinese Descendant","60534.61538461538","Natural Science","1990"
"Chinese Descendant","43156.701007325995","Other Occupation","1990"
"Chinese Descendant","31967.017704517704","Blue Collar","1990"
"Chinese Descendant","54892.03778677462","Post-Secondary Teachers","1990"
"Chinese Descendant","61801.39423076923","Engineering","1990"
"Chinese Descendant","61255.04921618665","Health","1990"
"Chinese Descendant","44375.51695616211","Math and Computational Science","1990"
"Vanilla","46709.80348692795","Natural Science","1990"
"Vanilla","33826.00336711741","Other Occupation","1990"
"Vanilla","30042.832983777167","Blue Collar","1990"
"Vanilla","41437.25882159326","Post-Secondary Teachers","1990"
"Vanilla","59444.05074485023","Engineering","1990"
"Vanilla","51595.61486000269","Health","1990"
"Vanilla","51622.493953840276","Math and Computational Science","1990"
"Direct Chinese Immigrant","39258.377039627034","Natural Science","1990"
"Direct Chinese Immigrant","14362.660968660966","Post-Secondary Teachers","1990"
"Direct Chinese Immigrant","21768.760469011722","Blue Collar","1990"
"Direct Chinese Immigrant","26650.03403974224","Other Occupation","1990"
"Direct Chinese Immigrant","81103.26094310262","Engineering","1990"
"Direct Chinese Immigrant","72588.77025984049","Health","1990"
"Direct Chinese Immigrant","60507.86670437406","Math and Computational Science","1990"
"Hispanic Descendant","28135.617715617715","Natural Science","1990"
"Hispanic Descendant","25624.29909833756","Other Occupation","1990"
"Hispanic Descendant","26236.239247243484","Blue Collar","1990"
"Hispanic Descendant","21621.020613373545","Post-Secondary Teachers","1990"
"Hispanic Descendant","52045.16782407407","Engineering","1990"
"Hispanic Descendant","46002.68754331257","Health","1990"
"Hispanic Descendant","39379.976464759064","Math and Computational Science","1990"
"Direct Hispanic Immigrant","32271.050454921424","Natural Science","1990"
"Direct Hispanic Immigrant","22049.23803585135","Other Occupation","1990"
"Direct Hispanic Immigrant","17977.385660742548","Blue Collar","1990"
"Direct Hispanic Immigrant","28631.371948105014","Post-Secondary Teachers","1990"
"Direct Hispanic Immigrant","48149.98966087676","Engineering","1990"
"Direct Hispanic Immigrant","75336.1371855825","Health","1990"
"Direct Hispanic Immigrant","61468.89957264957","Math and Computational Science","1990"
"Chinese Descendant","37596.0","Natural Science","2000"
"Chinese Descendant","45362.39355984083","Other Occupation","2000"
"Chinese Descendant","34269.004341085274","Blue Collar","2000"
"Chinese Descendant","41933.99999999999","Post-Secondary Teachers","2000"
"Chinese Descendant","54341.12953367876","Engineering","2000"
"Chinese Descendant","116876.19470288626","Health","2000"
"Chinese Descendant","50980.36641975308","Math and Computational Science","2000"
"Vanilla","56252.664125529474","Natural Science","2000"
"Vanilla","38478.92542859709","Other Occupation","2000"
"Vanilla","30988.676747087673","Blue Collar","2000"
"Vanilla","39816.71534539787","Post-Secondary Teachers","2000"
"Vanilla","65849.39237240721","Engineering","2000"
"Vanilla","60399.83682476478","Health","2000"
"Vanilla","55089.389622098824","Math and Computational Science","2000"
"Direct Chinese Immigrant","43472.21103064068","Natural Science","2000"
"Direct Chinese Immigrant","38431.05366771159","Post-Secondary Teachers","2000"
"Direct Chinese Immigrant","20097.82924297042","Blue Collar","2000"
"Direct Chinese Immigrant","39380.698092757266","Other Occupation","2000"
