"YEAR","DATANUM","SERIAL","HHWT","GQ","PERNUM","PERWT","AGE","BPL","BPLD","ANCESTR1","ANCESTR1D","OCC1990"
2000,1,1888,2294.02,1,1,1296.62,32,300,30010,232,2320,535
2000,1,1888,2294.02,1,3,698.18,30,300,30010,232,2320,535
2000,1,12460,2692.98,1,1,3091.94,41,300,30025,234,2340,744
2000,1,13657,1795.32,1,2,1795.32,35,48,4800,210,2101,204
2000,1,43480,2992.2,1,1,2294.02,44,6,600,210,2101,55
2000,1,43480,2992.2,1,2,2593.24,43,6,600,210,2101,337
2000,1,56047,1196.88,3,1,1196.88,37,34,3400,271,2710,27
2000,1,74000,1895.06,1,2,1695.58,38,36,3600,234,2340,275
2000,1,79586,2393.76,1,1,2992.2,44,250,25000,271,2710,22
2000,1,79586,2393.76,1,2,2992.2,42,250,25000,271,2710,243
2000,1,81580,1895.06,1,2,1795.32,39,36,3600,271,2710,157
2000,1,107912,2992.2,1,1,2393.76,39,300,30065,239,2390,22
2000,1,107912,2992.2,1,3,2393.76,39,300,30065,239,2390,337
2000,1,111901,1496.1,1,1,1296.62,30,300,30065,291,2910,7
2000,1,117287,3690.38,1,2,1994.8,34,300,30025,234,2340,163
2000,1,124668,498.7,1,1,498.7,31,200,20000,210,2101,889
2000,1,127660,1994.8,1,1,2493.5,41,36,3600,290,2900,22
2000,1,130752,2892.46,1,1,4687.78,35,200,20000,210,2101,405
2000,1,130752,2892.46,1,2,4189.08,34,200,20000,210,2101,405
2000,1,135639,1695.58,1,1,1695.58,37,47,4700,291,2910,365
2000,1,138831,1296.62,1,1,1695.58,35,36,3600,291,2910,507
2000,1,165960,1994.8,1,1,1994.8,49,300,30050,237,2370,75
2000,1,165960,1994.8,1,2,2194.28,40,300,30050,237,2370,156
2000,1,171346,1994.8,1,1,1994.8,34,12,1200,271,2710,234
2000,1,177530,2493.5,1,1,3191.68,44,250,25000,271,2710,178
2000,1,181320,1496.1,1,1,1196.88,45,250,25000,271,2710,22
2000,1,181320,1496.1,1,2,1795.32,46,250,25000,271,2710,13
2000,1,185509,2393.76,1,2,1496.1,33,250,25000,271,2710,22
2000,1,196281,1496.1,1,1,1496.1,42,12,1200,291,2910,274
2000,1,196281,1496.1,1,2,1396.36,40,12,1200,291,2910,156
2000,1,198775,2692.98,1,1,2692.98,39,300,30025,234,2340,154
2000,1,198775,2692.98,1,2,3191.68,35,17,1700,234,2340,383
2000,1,203961,3690.38,1,1,2194.28,38,200,20000,291,2910,276
2000,1,206056,2892.46,1,1,3191.68,33,200,20000,210,2101,585
2000,1,206056,2892.46,1,2,2892.46,31,200,20000,210,2101,479
2000,1,207153,1496.1,1,2,2493.5,46,200,20000,210,2101,405
2000,1,213437,1496.1,1,1,1496.1,32,300,30050,237,2370,804
2000,1,213437,1496.1,1,2,698.18,33,300,30050,237,2370,436
2000,1,215332,1695.58,1,2,2294.02,32,12,1200,291,2910,804
2000,1,216030,1196.88,1,1,1895.06,42,11,1100,224,2240,418
2000,1,219620,1496.1,1,1,2194.28,46,300,30025,234,2340,405
2000,1,224508,1695.58,1,2,2194.28,43,250,25000,271,2710,444
2000,1,227600,2194.28,1,2,2992.2,42,250,25000,271,2710,686
2000,1,228697,1496.1,1,2,2194.28,34,36,3600,271,2710,344
2000,1,229295,1296.62,1,2,1695.58,34,47,4700,291,2910,376
2000,1,229894,2493.5,1,1,1795.32,42,200,20000,210,2101,869
2000,1,233684,498.7,1,1,498.7,42,250,25000,271,2710,59
2000,1,233684,498.7,1,2,498.7,44,250,25000,271,2710,156
2000,1,234980,1695.58,1,1,1496.1,35,200,20000,210,2101,573
2000,1,235579,1196.88,1,1,2194.28,42,200,20000,210,2101,17
2000,1,235579,1196.88,1,2,1994.8,37,200,20000,210,2101,7
2000,1,236377,1895.06,1,1,1496.1,32,300,30065,239,2390,276
2000,1,236377,1895.06,1,2,1396.36,31,300,30065,239,2390,469
2000,1,236477,2493.5,1,1,2493.5,36,39,3900,237,2370,436
2000,1,239668,1695.58,1,3,1695.58,35,36,3600,231,2310,274
2000,1,240466,1695.58,1,1,1496.1,37,300,30025,234,2340,453
2000,1,241364,2194.28,1,1,1496.1,39,300,30025,234,2340,243
2000,1,241364,2194.28,1,2,1695.58,32,300,30025,234,2340,785
2000,1,243558,2692.98,1,2,2692.98,37,250,25000,271,2710,505
2000,1,248745,1994.8,1,2,1496.1,36,1,100,271,2710,229
2000,1,250839,1496.1,1,1,1196.88,43,200,20000,227,2273,799
2000,1,254230,897.66,1,1,698.18,44,300,30025,291,2910,804
2000,1,255726,1695.58,1,2,1496.1,41,48,4800,210,2101,27
2000,1,257422,2194.28,1,2,2493.5,31,12,1200,210,2101,447
2000,1,261312,2493.5,1,1,2393.76,36,200,20000,210,2101,485
2000,1,276373,498.7,1,2,498.7,32,300,30050,290,2900,275
2000,1,279165,1496.1,1,2,1296.62,38,200,20000,210,2101,22
2000,1,279464,2692.98,1,1,2692.98,33,12,1200,271,2710,804
2000,1,282257,199.48,1,1,199.48,37,17,1700,210,2101,17
2000,1,282257,199.48,1,2,498.7,31,48,4800,210,2101,18
2000,1,284252,1496.1,1,1,1695.58,35,200,20000,210,2101,505
2000,1,284551,498.7,1,1,199.48,34,200,20000,210,2101,567
2000,1,287643,2194.28,1,1,2493.5,41,36,3600,291,2910,84
2000,1,289937,997.4,1,1,997.4,50,200,20000,210,2101,804
2000,1,289937,997.4,1,2,997.4,46,200,20000,210,2101,468
2000,1,295922,2194.28,1,1,2493.5,38,200,20000,210,2101,496
2000,1,295922,2194.28,1,5,2892.46,41,200,20000,210,2101,486
2000,1,305796,3391.16,1,1,3391.16,41,300,30025,234,2340,579
2000,1,305796,3391.16,1,2,3490.9,34,300,30025,234,2340,276
2000,1,318463,2892.46,1,1,2493.5,35,200,20000,210,2101,485
2000,1,327739,1496.1,1,1,1994.8,37,200,20000,211,2111,516
2000,1,327739,1496.1,1,2,1196.88,37,200,20000,210,2101,405
2000,1,338411,1396.36,1,1,1994.8,34,300,30050,237,2370,443
2000,1,339408,1695.58,1,1,2493.5,31,300,30025,234,2340,229
2000,1,339408,1695.58,1,2,2692.98,34,300,30025,234,2340,558
2000,1,340106,2493.5,1,1,2692.98,39,300,30010,232,2320,804
2000,1,340805,2493.5,1,2,1994.8,35,300,30050,237,2370,344
2000,1,342700,2493.5,1,3,1496.1,33,24,2400,291,2910,243
2000,1,351975,897.66,1,1,997.4,35,48,4800,211,2110,365
2000,1,351975,897.66,1,2,997.4,30,200,20000,210,2101,163
2000,1,352275,1895.06,1,1,1994.8,39,200,20000,210,2101,804
2000,1,352275,1895.06,1,2,2493.5,35,48,4800,210,2101,155
2000,1,360952,698.18,1,1,698.18,37,200,20000,210,2101,785
2000,1,362847,1895.06,1,1,1296.62,43,300,30025,234,2340,785
2000,1,371126,2692.98,1,1,1795.32,41,300,30025,234,2340,453
2000,1,371126,2692.98,1,2,2692.98,35,300,30025,234,2340,385
2000,1,371126,2692.98,1,4,1994.8,34,300,30025,234,2340,759
2000,1,371126,2692.98,1,6,2692.98,41,300,30025,234,2340,373
2000,1,374317,2194.28,1,1,2194.28,35,300,30025,234,2340,357
2000,1,374317,2194.28,1,3,2992.2,43,300,30025,234,2340,357
2000,1,375015,2194.28,1,1,2992.2,35,12,1200,210,2101,505
2000,1,376511,1695.58,1,4,2194.28,36,300,30025,291,2910,156
2000,1,377309,1895.06,1,1,1994.8,30,6,600,271,2710,27
2000,1,381100,1895.06,1,1,1695.58,41,300,30065,239,2390,13
2000,1,382496,1695.58,1,2,2294.02,36,250,25000,291,2910,379
2000,1,382995,1695.58,1,2,1695.58,35,250,25000,271,2710,313
2000,1,384191,2493.5,1,1,1296.62,32,6,600,239,2390,13
2000,1,384191,2493.5,1,2,1895.06,33,300,30065,239,2390,463
2000,1,384989,1196.88,1,1,1695.58,49,300,30025,234,2340,156
2000,1,384989,1196.88,1,4,2294.02,48,300,30025,234,2340,95
2000,1,384989,1196.88,1,6,2194.28,41,300,30025,234,2340,37
2000,1,386884,2692.98,1,1,2194.28,39,250,25000,271,2710,66
2000,1,387084,1695.58,1,2,1396.36,48,300,30050,237,2370,447
2000,1,388081,1196.88,1,1,1296.62,37,250,25000,271,2710,243
2000,1,389378,2194.28,1,1,1795.32,34,34,3400,221,2210,207
2000,1,390176,997.4,1,1,997.4,36,250,25000,271,2710,84
2000,1,390276,2194.28,1,1,1895.06,40,250,25000,271,2710,22
2000,1,390675,2493.5,1,1,2692.98,49,300,30025,234,2340,254
2000,1,392570,1795.32,1,1,1695.58,47,300,30020,233,2330,275
2000,1,395462,1895.06,1,1,1895.06,44,300,30025,234,2340,785
2000,1,395961,2194.28,1,3,2493.5,32,250,25000,271,2710,64
2000,1,396160,2393.76,1,1,2992.2,33,250,25000,271,2710,549
2000,1,396160,2393.76,1,2,2692.98,30,250,25000,271,2710,799
2000,1,396459,2194.28,1,1,1994.8,48,300,30025,234,2340,785
2000,1,396659,1695.58,1,1,1795.32,49,250,25000,271,2710,567
2000,1,396659,1695.58,1,2,1695.58,49,250,25000,271,2710,808
2000,1,397158,1695.58,1,1,2692.98,48,250,25000,271,2710,575
2000,1,397257,2692.98,1,2,2393.76,39,250,25000,271,2710,15
2000,1,398055,2194.28,1,1,2194.28,42,250,25000,271,2710,22
2000,1,398055,2194.28,1,2,1994.8,38,250,25000,271,2710,375
2000,1,398155,1695.58,1,1,1895.06,36,250,25000,224,2240,799
2000,1,399551,1994.8,1,1,2692.98,34,250,25000,271,2710,518
2000,1,399551,1994.8,1,2,1496.1,33,250,25000,271,2710,726
2000,1,400549,1496.1,1,2,1496.1,38,250,25000,271,2710,313
2000,1,401147,2194.28,1,1,2493.5,31,250,25000,271,2710,719
2000,1,401147,2194.28,1,2,2194.28,37,250,25000,271,2710,159
2000,1,402344,1496.1,1,1,1994.8,40,250,25000,271,2710,779
2000,1,403042,1695.58,1,1,1695.58,33,300,30025,234,2340,185
2000,1,407431,1994.8,1,1,2692.98,34,300,30065,239,2390,17
2000,1,409825,2194.28,1,2,2493.5,33,250,25000,271,2710,25
2000,1,411022,2992.2,1,2,2892.46,38,300,30025,234,2340,563
2000,1,411720,1695.58,1,1,1695.58,31,12,1200,271,2710,8
2000,1,412717,1895.06,1,2,1994.8,47,300,30050,291,2910,274
2000,1,413615,1695.58,1,1,2194.28,36,250,25000,271,2710,804
2000,1,413615,1695.58,1,2,2194.28,36,250,25000,271,2710,207
2000,1,413914,3191.68,1,1,2194.28,37,250,25000,271,2710,53
2000,1,413914,3191.68,1,2,2393.76,35,250,25000,271,2710,53
2000,1,414213,1196.88,1,2,1496.1,50,250,25000,271,2710,185
2000,1,414413,1895.06,1,1,1994.8,36,250,25000,271,2710,804
2000,1,414413,1895.06,1,2,1396.36,31,250,25000,271,2710,405
2000,1,414911,1296.62,1,1,1496.1,35,250,25000,271,2710,313
2000,1,415011,1994.8,1,1,1695.58,36,250,25000,271,2710,78
2000,1,415610,1895.06,1,1,2393.76,40,250,25000,271,2710,365
2000,1,415610,1895.06,1,2,1994.8,37,250,25000,271,2710,405
2000,1,416009,1695.58,1,1,1695.58,35,250,25000,271,2710,313
2000,1,416009,1695.58,1,4,1695.58,35,250,25000,271,2710,536
2000,1,416108,2892.46,1,3,3191.68,31,34,3400,234,2340,313
2000,1,416707,2692.98,1,1,1994.8,45,250,25000,271,2710,869
2000,1,417205,2194.28,1,3,2493.5,38,250,25000,290,2900,357
2000,1,417804,1695.58,1,2,2692.98,48,250,25000,291,2910,8
2000,1,418402,1994.8,1,1,2194.28,35,250,25000,290,2900,677
2000,1,418402,1994.8,1,2,1795.32,36,250,25000,290,2900,313
2000,1,418502,2892.46,1,2,2992.2,31,250,25000,271,2710,373
2000,1,418502,2892.46,1,4,3191.68,34,250,25000,271,2710,458
2000,1,418702,2692.98,1,1,1695.58,44,250,25000,271,2710,355
2000,1,419200,2194.28,1,2,2393.76,38,250,25000,271,2710,159
2000,1,419400,2194.28,1,1,2194.28,32,12,1200,224,2240,274
2000,1,419400,2194.28,1,3,2493.5,33,250,25000,271,2710,375
2000,1,419599,1196.88,1,1,1196.88,35,250,25000,271,2710,508
2000,1,419599,1196.88,1,2,997.4,33,250,25000,271,2710,4
2000,1,420098,1496.1,1,1,2194.28,37,250,25000,271,2710,274
2000,1,420098,1496.1,1,4,1695.58,32,250,25000,271,2710,585
2000,1,420297,2692.98,1,1,2892.46,42,250,25000,271,2710,22
2000,1,420297,2692.98,1,2,1994.8,33,250,25000,271,2710,373
2000,1,420796,3191.68,1,1,3889.86,38,250,25000,271,2710,25
2000,1,420796,3191.68,1,2,3690.38,39,250,25000,271,2710,376
2000,1,420896,2194.28,1,1,1795.32,49,250,25000,271,2710,804
2000,1,421095,1695.58,1,1,1795.32,32,36,3600,271,2710,274
2000,1,421095,1695.58,1,2,1396.36,32,12,1200,271,2710,8
2000,1,421295,2992.2,1,1,2692.98,39,250,25000,271,2710,303
2000,1,421295,2992.2,1,2,2892.46,43,250,25000,271,2710,64
2000,1,422192,2493.5,1,1,2892.46,50,250,25000,271,2710,214
2000,1,422192,2493.5,1,2,2493.5,40,250,25000,271,2710,359
2000,1,422392,2692.98,1,1,3191.68,39,250,25000,271,2710,84
2000,1,422591,1396.36,1,1,1695.58,38,250,25000,271,2710,22
2000,1,422591,1396.36,1,2,1695.58,34,36,3600,271,2710,15
2000,1,423090,1795.32,1,2,1695.58,39,250,25000,271,2710,275
2000,1,423290,997.4,1,1,1196.88,37,250,25000,271,2710,243
2000,1,423290,997.4,1,2,1496.1,34,250,25000,271,2710,22
2000,1,424486,1795.32,1,1,1695.58,40,300,30030,235,2350,22
2000,1,425085,1695.58,1,1,2393.76,35,8,800,271,2710,178
2000,1,425384,3191.68,1,3,3391.16,39,250,25000,271,2710,275
2000,1,425384,3191.68,1,4,3490.9,35,250,25000,271,2710,754
2000,1,425683,2194.28,1,1,1994.8,32,300,30065,239,2390,549
2000,1,426381,2692.98,1,1,2992.2,39,250,25000,271,2710,303
2000,1,426381,2692.98,1,2,3091.94,32,250,25000,271,2710,447
2000,1,426481,2194.28,1,1,1895.06,38,36,3600,271,2710,29
2000,1,426681,3391.16,1,2,3690.38,42,300,30005,231,2310,274
