YEAR,PERWT,BPL,ANCESTR1,OCC1990
2000,2593.24,37,51,645
2000,2593.24,44,51,376
2000,5784.92,44,51,163
2000,3690.38,44,51,156
2000,1795.32,25,32,678
2000,1296.62,300,232,535
2000,698.18,300,232,535
2000,2094.54,36,50,84
2000,2294.02,25,51,313
2000,2593.24,44,51,189
2000,2692.98,44,51,558
2000,2294.02,44,51,337
2000,1296.62,300,84,405
2000,2294.02,25,50,95
2000,1795.32,44,51,808
2000,1795.32,44,51,303
2000,2094.54,44,50,158
2000,1795.32,44,51,7
2000,1895.06,25,22,22
2000,2094.54,44,51,447
2000,3391.16,44,22,64
2000,2393.76,44,51,375
2000,2094.54,44,510,379
2000,1795.32,44,510,26
2000,1895.06,44,26,274
2000,1595.84,44,51,687
2000,1595.84,44,50,22
2000,1296.62,44,50,905
2000,2094.54,44,84,769
2000,2094.54,44,22,585
2000,1496.1,44,50,527
2000,1595.84,44,51,184
2000,1296.62,25,26,22
2000,1595.84,44,26,447
2000,1595.84,44,50,628
2000,3191.68,44,51,185
2000,2593.24,44,51,99
2000,1595.84,44,84,383
2000,1895.06,44,142,634
2000,498.7,44,51,22
2000,1396.36,44,51,573
2000,1097.14,25,51,869
2000,997.4,42,148,243
2000,1296.62,42,51,274
2000,1296.62,44,26,243
2000,1595.84,44,22,159
2000,1296.62,36,22,84
2000,2094.54,44,939,22
2000,3590.64,25,26,276
2000,2094.54,44,920,95
2000,1296.62,44,26,243
2000,1895.06,44,51,426
2000,1595.84,44,50,799
2000,997.4,25,939,243
2000,1296.62,44,50,178
2000,1296.62,50,32,335
2000,2094.54,44,32,204
2000,2294.02,44,935,637
2000,2094.54,44,50,804
2000,2393.76,44,50,804
2000,1296.62,44,935,275
2000,1895.06,44,935,208
2000,1795.32,44,50,313
2000,2393.76,23,50,337
2000,2094.54,51,50,174
2000,2692.98,44,84,875
2000,2593.24,44,51,64
2000,2094.54,44,84,567
2000,2593.24,44,51,154
2000,1795.32,44,26,991
2000,2393.76,44,51,418
2000,2593.24,44,51,157
2000,3091.94,300,234,744
2000,1795.32,44,84,575
2000,1795.32,44,84,318
2000,1296.62,44,51,595
2000,1097.14,44,50,275
2000,1595.84,44,89,23
2000,1595.84,25,22,446
2000,3391.16,36,51,905
2000,1595.84,36,22,21
2000,1595.84,25,84,905
2000,1795.32,48,210,204
2000,1795.32,44,26,558
2000,2393.76,44,51,458
2000,2094.54,44,50,23
2000,1795.32,25,50,95
2000,2792.72,44,902,486
2000,2094.54,44,51,468
2000,1097.14,44,51,558
2000,997.4,44,51,379
2000,3391.16,25,931,376
2000,2593.24,44,32,56
2000,1595.84,44,51,726
2000,2294.02,37,26,804
2000,2094.54,44,50,348
2000,2094.54,44,900,316
2000,2094.54,44,902,417
2000,1595.84,44,50,443
2000,1496.1,44,26,22
2000,1097.14,44,22,783
2000,1496.1,44,51,22
2000,1595.84,25,50,154
2000,1994.8,39,50,13
2000,2094.54,44,51,779
2000,2393.76,44,51,487
2000,1795.32,44,84,22
2000,1895.06,25,50,375
2000,2094.54,44,939,364
2000,1496.1,44,22,869
2000,1296.62,44,51,319
2000,2094.54,44,84,527
2000,2393.76,34,26,628
2000,2294.02,36,51,365
2000,3391.16,50,50,48
2000,2393.76,44,51,156
2000,2393.76,44,22,779
2000,2094.54,44,51,365
2000,1795.32,44,50,274
2000,2094.54,44,89,376
2000,2094.54,44,51,418
2000,2393.76,48,26,344
2000,997.4,44,88,275
2000,1595.84,44,87,379
2000,1595.84,44,142,744
2000,3191.68,44,51,736
2000,2892.46,44,51,447
2000,2094.54,44,510,785
2000,2094.54,44,22,105
2000,1496.1,44,51,759
2000,2094.54,20,50,276
2000,2094.54,9,3,809
2000,1296.62,44,51,534
2000,1496.1,44,50,445
2000,2094.54,34,51,21
2000,1795.32,44,51,435
2000,1296.62,36,22,13
2000,997.4,44,50,373
2000,997.4,44,50,905
2000,1396.36,39,431,463
2000,2094.54,1,26,303
2000,1496.1,50,939,243
2000,1595.84,50,26,585
2000,2094.54,25,26,726
2000,3191.68,50,935,726
2000,5286.22,36,935,89
2000,2094.54,19,32,887
2000,2094.54,27,939,696
2000,4189.08,36,22,229
2000,3091.94,36,32,274
2000,3191.68,50,935,64
2000,3690.38,50,920,875
2000,3191.68,50,935,448
2000,2692.98,50,920,355
2000,1097.14,40,22,335
2000,498.7,9,195,376
2000,1097.14,50,26,7
2000,1097.14,50,26,17
2000,5286.22,26,939,22
2000,1595.84,27,939,368
2000,3690.38,50,51,22
2000,3091.94,50,26,275
2000,2692.98,50,26,27
2000,1097.14,50,22,7
2000,1595.84,47,26,379
2000,1097.14,31,32,688
2000,997.4,25,924,445
2000,5585.44,6,935,804
2000,2094.54,42,32,156
2000,1097.14,50,935,549
2000,3191.68,50,26,579
2000,3191.68,50,195,64
2000,997.4,50,22,744
2000,997.4,50,22,558
2000,997.4,50,22,243
2000,2692.98,9,22,159
2000,3191.68,50,22,156
2000,1097.14,25,51,243
2000,3191.68,50,935,335
2000,2094.54,50,22,447
2000,1097.14,25,935,25
2000,997.4,25,50,337
2000,997.4,50,920,389
2000,997.4,50,26,22
2000,1097.14,9,26,313
2000,2094.54,50,22,808
2000,1097.14,11,22,17
2000,1595.84,54,22,8
2000,1595.84,33,50,436
2000,3091.94,33,26,356
2000,3191.68,33,26,275
2000,2094.54,33,939,567
2000,1595.84,50,32,229
2000,1097.14,48,32,726
2000,997.4,51,939,439
2000,1097.14,51,939,887
2000,3690.38,11,50,167
2000,2094.54,34,924,276
2000,997.4,50,939,337
2000,1097.14,50,939,779
2000,997.4,33,26,207
2000,1595.84,50,26,804
2000,3191.68,33,26,889
2000,997.4,17,89,185
2000,1097.14,12,88,17
2000,1595.84,25,50,22
2000,3191.68,50,50,458
2000,2692.98,50,50,373
2000,1097.14,33,46,405
2000,498.7,50,50,527
2000,1097.14,50,142,436
2000,1097.14,50,935,558
2000,2094.54,25,190,174
2000,1595.84,27,82,163
2000,997.4,53,50,156
2000,4787.52,50,939,447
2000,3191.68,50,939,405
2000,1097.14,50,50,365
2000,1097.14,36,50,453
2000,1595.84,50,51,95
2000,1595.84,50,51,496
2000,1595.84,50,26,567
2000,1097.14,50,22,458
2000,1097.14,34,22,508
2000,1595.84,51,144,15
2000,598.44,25,939,357
2000,997.4,6,939,175
2000,1496.1,50,26,447
2000,698.18,8,89,16
2000,1895.06,6,32,563
2000,2294.02,6,22,188
2000,1097.14,31,82,379
2000,2294.02,46,32,156
2000,2194.28,46,32,156
2000,698.18,6,32,804
2000,2992.2,56,22,473
2000,3391.16,56,924,159
2000,2593.24,36,195,13
2000,797.92,49,22,567
2000,698.18,56,20,313
2000,698.18,55,924,486
2000,1496.1,56,22,473
2000,2692.98,6,22,577
2000,1895.06,48,50,276
2000,2294.02,46,50,695
2000,797.92,55,89,461
2000,2294.02,6,210,55
2000,2593.24,6,210,337
2000,698.18,56,920,447
2000,797.92,56,920,436
2000,1196.88,56,50,405
2000,698.18,50,924,869
2000,1097.14,56,924,185
2000,2992.2,56,924,105
2000,2294.02,40,920,808
2000,1097.14,17,920,64
2000,2194.28,56,32,453
2000,2294.02,56,32,453
2000,1097.14,4,920,573
2000,1097.14,56,920,365
2000,398.96,56,26,243
2000,299.22,56,87,453
2000,698.18,56,32,458
2000,1496.1,31,88,575
2000,797.92,56,32,804
2000,797.92,56,939,475
2000,1097.14,56,939,276
2000,299.22,56,32,303
2000,2593.24,31,32,85
2000,4887.26,30,22,385
2000,1895.06,56,82,736
2000,797.92,42,32,276
2000,2992.2,56,88,276
2000,797.92,46,924,436
2000,2194.28,56,142,444
2000,398.96,42,21,22
2000,698.18,53,50,25
2000,797.92,56,50,844
2000,2294.02,19,32,156
2000,1496.1,56,195,389
2000,1097.14,46,148,23
2000,698.18,48,32,486
2000,2294.02,55,50,84
2000,2992.2,56,32,869
2000,2593.24,56,50,468
2000,1396.36,22,902,207
2000,1496.1,12,89,804
2000,2194.28,1,939,187
2000,1695.58,12,902,22
2000,2992.2,12,920,447
2000,3191.68,13,920,889
2000,3391.16,22,26,185
2000,1196.88,12,920,274
2000,1496.1,12,599,274
2000,1496.1,44,32,13
2000,1496.1,36,51,505
2000,1496.1,26,939,176
2000,2194.28,13,939,905
2000,2892.46,36,171,174
2000,2194.28,12,88,154
2000,997.4,53,939,436
2000,2294.02,1,902,447
2000,997.4,27,82,519
2000,1196.88,34,271,27
2000,1296.62,26,50,533
2000,1695.58,42,902,379
2000,997.4,42,902,338
2000,1795.32,24,26,445
2000,1994.8,12,902,595
2000,1895.06,12,902,174
2000,1396.36,37,939,686
2000,1795.32,12,939,313
2000,1795.32,35,50,389
2000,1994.8,1,50,207
2000,2194.28,12,88,277
2000,2194.28,13,22,804
2000,2194.28,1,50,447
2000,1695.58,12,32,804
2000,1994.8,12,50,579
2000,1895.06,12,22,468
2000,1895.06,13,939,18
2000,1795.32,25,50,243
2000,2294.02,12,939,443
2000,1895.06,12,939,804
2000,2294.02,12,82,829
2000,1396.36,12,920,15
2000,2194.28,12,935,226
2000,2194.28,12,32,154
2000,2194.28,45,939,503
2000,3391.16,12,939,27
2000,2194.28,6,429,226
2000,1795.32,12,26,779
2000,1895.06,1,920,799
2000,2194.28,12,50,435
2000,2294.02,37,924,423
2000,1296.62,39,902,799
2000,1695.58,42,32,275
2000,1496.1,22,51,498
2000,1296.62,18,50,156
2000,2194.28,26,939,253
2000,1695.58,40,939,905
2000,1196.88,12,939,748
2000,1994.8,36,336,65
2000,2393.76,45,195,905
2000,3490.9,18,87,435
2000,1695.58,22,50,527
2000,1695.58,36,939,275
2000,2692.98,56,939,375
2000,2992.2,1,939,585
2000,2892.46,1,50,549
2000,3191.68,12,50,744
2000,1795.32,6,87,163
2000,1895.06,12,920,95
2000,2393.76,42,32,533
2000,1994.8,42,171,313
2000,1895.06,47,51,276
2000,1994.8,12,939,804
2000,1895.06,12,920,316
2000,997.4,12,599,744
2000,1895.06,12,902,799
2000,2992.2,12,939,35
2000,2692.98,12,939,313
2000,797.92,8,50,319
2000,1994.8,1,902,447
2000,498.7,12,939,804
2000,2194.28,39,97,436
2000,1196.88,12,902,436
2000,1496.1,1,902,803
2000,897.66,1,902,447
2000,997.4,1,902,485
2000,498.7,12,50,337
2000,1097.14,55,32,783
2000,1994.8,12,22,23
2000,2692.98,37,924,17
2000,2692.98,12,920,29
2000,2493.5,13,50,453
2000,1895.06,48,939,439
2000,3989.6,1,22,804
2000,3590.64,20,22,276
2000,3889.86,6,920,365
2000,1895.06,12,939,243
2000,2194.28,12,939,156
2000,2294.02,29,50,33
2000,1994.8,17,32,905
2000,2194.28,6,21,567
2000,1895.06,12,939,435
2000,1695.58,6,22,316
2000,1695.58,12,50,783
2000,1695.58,36,234,275
2000,2992.2,12,902,228
2000,2194.28,28,902,174
2000,2194.28,25,50,567
2000,1895.06,1,50,435
2000,2393.76,12,902,436
2000,1496.1,12,902,303
2000,997.4,12,22,549
2000,1496.1,12,22,319
2000,2493.5,12,50,308
2000,1994.8,48,97,178
2000,1895.06,6,32,155
2000,1994.8,12,902,436
2000,1695.58,26,22,463
2000,1496.1,26,26,156
2000,498.7,12,939,453
2000,299.22,12,939,156
2000,997.4,1,902,436
2000,2992.2,250,271,22
2000,2992.2,250,271,243
2000,2692.98,36,902,373
2000,2692.98,51,902,804
2000,2194.28,12,902,156
2000,2294.02,12,902,558
2000,2493.5,54,425,313
2000,1895.06,50,82,167
2000,1795.32,36,271,157
2000,2992.2,12,902,154
2000,1994.8,18,22,17
2000,1895.06,12,46,185
2000,2194.28,12,26,204
2000,1994.8,9,50,33
2000,2493.5,13,900,804
2000,2692.98,13,900,726
2000,997.4,12,902,405
2000,997.4,12,902,385
2000,1496.1,10,939,22
2000,2194.28,12,902,379
2000,1695.58,12,902,415
2000,2393.76,20,22,829
2000,2194.28,28,22,224
2000,498.7,26,32,337
2000,1895.06,8,32,804
2000,1496.1,42,924,479
2000,3391.16,37,920,254
2000,2992.2,12,920,389
2000,199.48,48,32,28
2000,2194.28,36,599,803
2000,1196.88,12,939,224
2000,1196.88,21,939,33
2000,2393.76,23,22,479
2000,2194.28,12,87,558
2000,1695.58,49,50,156
2000,997.4,12,50,208
2000,1994.8,45,920,319
2000,1695.58,25,50,359
2000,498.7,12,902,275
2000,2493.5,39,32,486
2000,498.7,29,939,376
2000,897.66,36,32,207
2000,797.92,12,939,534
2000,2692.98,12,50,889
2000,2892.46,47,32,447
2000,1196.88,55,22,423
2000,2393.76,19,32,185
2000,1895.06,39,32,799
2000,1296.62,300,706,155
2000,498.7,12,21,205
2000,1895.06,12,902,14
2000,2194.28,12,599,706
2000,2692.98,36,939,567
2000,2692.98,12,939,435
2000,1695.58,300,32,154
2000,2493.5,39,21,313
2000,2692.98,12,939,473
2000,2992.2,12,939,379
2000,797.92,12,900,991
2000,4987,12,939,567
2000,498.7,12,902,453
2000,1994.8,1,87,163
2000,1695.58,12,50,563
2000,698.18,1,50,558
2000,797.92,12,32,558
2000,1496.1,12,920,22
2000,698.18,51,50,64
2000,2194.28,12,924,453
2000,1695.58,12,88,22
2000,1496.1,13,88,22
2000,1994.8,39,51,804
2000,2194.28,48,50,779
2000,2194.28,12,902,389
2000,698.18,41,939,804
2000,997.4,13,939,804
2000,2493.5,18,939,276
2000,498.7,12,26,804
2000,4189.08,12,32,43
2000,5884.66,12,26,155
2000,4089.34,12,900,637
2000,3191.68,12,900,274
2000,1994.8,6,32,799
2000,2493.5,13,50,889
2000,1196.88,12,902,274
2000,1496.1,12,902,274
2000,698.18,12,902,426
2000,1296.62,12,900,376
2000,1695.58,12,924,783
2000,997.4,20,902,575
2000,5385.96,6,900,365
2000,3391.16,12,902,503
2000,2692.98,12,902,155
2000,4189.08,13,50,595
2000,2992.2,12,902,448
2000,2692.98,12,902,417
2000,1695.58,12,939,359
2000,1895.06,12,902,516
2000,1196.88,12,902,458
2000,2493.5,39,51,436
2000,1196.88,39,939,567
2000,1795.32,37,939,348
2000,2194.28,13,22,207
2000,1196.88,13,902,214
2000,2194.28,36,261,243
2000,1695.58,28,902,95
2000,1496.1,12,22,869
2000,1196.88,39,50,303
2000,1895.06,1,902,866
2000,1296.62,12,50,276
2000,2493.5,26,939,785
2000,1496.1,36,50,628
2000,2992.2,22,26,303
2000,3490.9,12,22,573
2000,1994.8,6,111,227
2000,1994.8,12,939,804
2000,2194.28,37,50,95
2000,1695.58,24,32,255
2000,1296.62,12,32,446
2000,1196.88,12,50,95
2000,1994.8,37,22,254
2000,1695.58,12,22,464
2000,2393.76,300,239,22
2000,2393.76,300,239,337
2000,1695.58,36,51,804
2000,1496.1,36,26,276
2000,1695.58,34,22,364
2000,2294.02,45,50,7
2000,2992.2,26,902,36
2000,1695.58,12,939,385
2000,997.4,37,50,229
2000,1695.58,6,50,453
2000,3690.38,26,902,68
2000,1994.8,41,32,905
2000,2493.5,13,902,8
2000,2393.76,25,26,344
2000,2194.28,12,939,22
2000,1496.1,13,50,274
2000,1396.36,9,51,468
2000,1895.06,33,129,178
2000,2194.28,6,87,199
2000,2992.2,12,706,59
2000,2194.28,42,920,337
2000,2393.76,34,142,444
2000,2194.28,12,902,809
2000,1695.58,500,706,55
2000,1296.62,300,291,7
2000,1994.8,12,939,337
2000,1994.8,12,939,558
2000,1895.06,12,939,274
2000,2194.28,21,32,59
2000,2692.98,39,902,389
2000,2194.28,12,22,14
2000,1895.06,12,32,22
2000,2692.98,12,902,319
2000,2194.28,5,920,208
2000,2493.5,1,902,804
2000,1695.58,12,88,458
2000,2294.02,12,939,453
2000,1695.58,2,32,13
2000,2294.02,12,920,15
2000,1895.06,45,902,905
2000,1196.88,12,11,27
2000,997.4,12,11,804
2000,1994.8,12,902,18
2000,3191.68,26,902,379
2000,3191.68,12,902,567
2000,3191.68,13,939,458
2000,897.66,12,32,889
2000,1695.58,12,142,418
2000,1695.58,12,32,156
2000,1695.58,39,125,303
2000,4887.26,10,32,48
2000,1994.8,300,234,163
2000,1994.8,17,50,95
2000,1994.8,6,82,808
2000,1994.8,8,50,106
2000,1994.8,12,902,22
2000,3391.16,42,32,453
2000,2692.98,12,91,337
2000,1396.36,24,22,188
2000,1396.36,1,51,275
2000,2194.28,36,88,508
2000,2393.76,54,26,163
2000,2294.02,51,87,156
2000,1496.1,6,26,804
2000,1196.88,6,32,376
2000,1695.58,26,51,243
2000,1994.8,39,87,313
2000,1994.8,28,939,783
2000,2194.28,45,939,64
2000,2493.5,45,902,379
2000,2194.28,12,939,869
2000,498.7,39,939,22
2000,2194.28,36,50,27
2000,2992.2,13,87,183
2000,2393.76,26,22,22
2000,1994.8,17,50,4
2000,2194.28,47,87,303
2000,2194.28,12,26,759
2000,2194.28,42,32,628
2000,1795.32,13,51,888
2000,3191.68,12,920,628
2000,498.7,200,210,889
2000,1994.8,39,939,426
2000,1895.06,39,939,319
2000,2692.98,23,8,567
2000,2194.28,12,89,4
2000,2294.02,12,902,335
2000,1994.8,29,142,84
2000,1496.1,9,51,96
2000,2493.5,36,290,22
2000,2194.28,27,88,678
2000,1994.8,27,88,375
2000,1496.1,36,32,376
2000,2692.98,17,902,447
2000,2692.98,500,706,785
2000,1496.1,34,142,27
2000,1196.88,6,88,57
2000,1296.62,6,88,365
2000,1895.06,26,22,444
2000,2493.5,6,142,435
2000,2393.76,21,50,22
2000,1994.8,6,32,303
2000,1496.1,9,148,178
2000,4687.78,200,210,405
2000,4189.08,200,210,405
2000,698.18,51,50,453
2000,797.92,9,22,243
2000,1296.62,12,902,22
2000,1396.36,12,902,303
2000,1795.32,26,142,468
2000,1695.58,12,902,804
2000,3989.6,48,51,799
2000,2493.5,12,902,436
2000,2294.02,25,920,736
2000,1695.58,12,902,405
2000,2194.28,26,939,785
2000,3191.68,34,46,637
2000,2892.46,36,51,486
2000,1695.58,12,32,468
2000,2194.28,34,88,436
2000,1695.58,20,87,275
2000,1994.8,42,32,274
2000,1695.58,42,32,383
2000,2393.76,36,32,486
2000,1695.58,47,291,365
2000,1695.58,12,32,376
2000,1795.32,26,142,243
2000,1496.1,24,22,418
2000,1196.88,12,51,204
2000,199.48,36,32,18
2000,1695.58,12,50,376
2000,2194.28,12,920,453
2000,2294.02,12,920,97
2000,1994.8,45,22,274
2000,3490.9,45,32,313
2000,1895.06,25,939,317
2000,3191.68,36,939,436
2000,1994.8,12,26,53
2000,1496.1,1,920,469
2000,1695.58,12,924,277
2000,1994.8,12,924,567
2000,2692.98,55,32,378
2000,1296.62,51,22,375
2000,1895.06,36,142,276
2000,1695.58,36,291,507
2000,1994.8,27,32,14
2000,2692.98,39,22,156
2000,3191.68,18,51,27
2000,1496.1,9,935,434
2000,2094.54,18,32,505
2000,1695.58,12,902,785
2000,1795.32,34,50,376
2000,1695.58,26,924,243
2000,1196.88,12,939,804
2000,1496.1,12,939,253
2000,1296.62,39,50,214
2000,3391.16,18,51,243
2000,2194.28,17,32,418
2000,1296.62,17,939,785
2000,2194.28,36,50,385
2000,2393.76,33,51,8
2000,1994.8,42,89,156
2000,1496.1,34,939,436
2000,1795.32,24,22,379
2000,2194.28,39,50,319
2000,1496.1,12,50,313
2000,1196.88,39,32,706
2000,1695.58,12,939,365
2000,2992.2,17,939,379
2000,3191.68,300,370,447
2000,1895.06,26,32,64
2000,2493.5,33,26,445
2000,2892.46,12,939,447
2000,2393.76,25,22,214
2000,2493.5,36,261,468
2000,1795.32,36,51,875
2000,2692.98,12,51,243
2000,1795.32,13,940,313
2000,997.4,12,902,527
2000,498.7,12,902,313
